12.mp3/0.190000/3.400000/Topic 3. Fruit for Grandma (Chủ đề 3. Trái cây cho bà)
12.mp3/4.410000/9.280000/Track 12. Listen to the words. One (Bài 12. Nghe các từ. Một)
12.mp3/10.370000/11.080000/Banana (Chuối)
12.mp3/13.180000/13.630000/2 (2)
12.mp3/14.790000/15.450000/Plum (Mận)
12.mp3/17.630000/18.200000/3 (3)
12.mp3/19.280000/20.010000/Peach (Đào)
12.mp3/22.100000/22.760000/4 (4)
12.mp3/23.844000/24.460000/hair (Lê)
12.mp3/26.610000/27.350000/Five (Năm)
12.mp3/28.500000/29.390000/Orange (Cam)
12.mp3/31.490000/32.180000/6 (6)
12.mp3/33.290000/34.000000/Coconut (Dừa)
12.mp3/36.100000/36.820000/7 (7)
12.mp3/37.910000/38.850000/Pineapple (Dứa)
12.mp3/40.900000/41.350000/8 (8)
12.mp3/42.440000/43.240000/Grapes (Nho)
12.mp3/45.360000/46.090000/9 (9)
12.mp3/47.160000/48.530000/Strawberries (Dâu tây)
