38.mp3/0.000000/2.252250/Track 38 (Bài 38)|words=0.000000,0.340000;
38.mp3/2.252250/5.190500/Do the zoo chant (Học thuộc bài hát về sở thú.)|words=2.252250,2.472250,2.752250,3.092250;
38.mp3/5.190500/6.834750/You (Bạn)|words=5.190500;
38.mp3/6.834750/8.456750/You (Bạn)|words=6.834750;
38.mp3/8.456750/16.700938/Cat, kitten, dog, puppy, rabbit, mouse, cow, moo (Mèo, mèo con, chó, chó con, thỏ, chuột, bò, moo.)|words=8.456750,9.156750,10.076750,10.876750,11.616750,12.536750,13.436750,14.176750;
38.mp3/16.700938/24.925688/Cat, kitten, dog, puppy, rabbit, mouse, cow. Moo (Mèo, mèo con, chó, chó con, thỏ, chuột, bò. Moo.)|words=16.700938,17.460938,18.320938,19.100938,19.800938,20.680938,21.600938,22.380938;
38.mp3/24.925688/29.843937/Cat, kitten, horse. Neee (Mèo, mèo con, ngựa. Neee!)|words=24.925688,25.705688,26.425688,27.305688;
38.mp3/29.843937/34.734563/Cat, kitten, sheep. Ah, ah, ah, ah, ah, ah, ah, ah (Mèo, mèo con, cừu. Ah, ah, ah, ah, ah, ah, ah, ah.)|words=29.843937,30.583937,31.483937,32.343937,32.983937,33.303937,33.663937,33.783937,34.003937,34.003937,34.303937;
38.mp3/34.734563/38.079687/Cat, kitten, chicken, fuck (Mèo, mèo con, gà, fuck!)|words=34.734563,35.434563,36.394563,37.234563;
38.mp3/38.079687/38.900063/Bye (Tạm biệt.)|words=38.079687;
38.mp3/38.900063/39.634375/Bye (Tạm biệt.)|words=38.900063;
38.mp3/39.634375/44.648063/Rabbit! Mouse! Cow! Moo (Thỏ! Chuột! Bò! Moo!)|words=39.634375,40.394375,41.314375,42.054375;
38.mp3/44.648063/61.387750/Hey, what's that? It's a horse. Hey, what's that? It's a cow. Hey, what's that? It's a chicken. Hey, what's that? It's a cat (Này, đó là gì? Đó là một con ngựa. Này, đó là gì? Đó là một con bò. Này, đó là gì? Đó là một con gà. Này, đó là gì? Đó là một con mèo.)|words=44.648063,45.008063,45.388063,45.908063,46.088063,46.188063,47.828063,48.208063,48.648063,49.168063,49.408063,49.508063,51.028063,51.628063,51.988063,52.568063,52.768063,52.808063,54.308063,54.908063,55.268063,55.708063,55.888063,56.048063;
