42.mp3/0.090000/8.190000/Topic 13. In the Kitchen. Track 42. Listen to the words (Chủ đề 13. Trong nhà bếp. Bài 42. Nghe các từ)
42.mp3/9.370000/9.960000/1 (1)
42.mp3/11.060000/11.650000/chair (ghế)
42.mp3/14.830000/15.280000/2 (2)
42.mp3/16.440000/17.090000/table (bàn)
42.mp3/20.280000/20.850000/3 (3)
42.mp3/21.940000/22.400000/bowl (bồn rửa)
42.mp3/25.490000/26.150000/4 (4)
42.mp3/27.230000/27.850000/plate (đĩa)
42.mp3/31.010000/31.750000/Five (5)
42.mp3/32.840000/33.360000/Mugs (cốc)
42.mp3/36.470000/37.160000/6 (6)
42.mp3/38.260000/38.690000/Nice (dao)
42.mp3/41.780000/42.500000/7 (7)
42.mp3/43.590000/44.080000/Fork (nĩa)
42.mp3/47.180000/47.630000/8 (8)
42.mp3/48.720000/49.470000/Spoon (thìa)
