006 02.mp3/0.000000/1.054000/You (Bạn)|words=0.000000;
006 02.mp3/1.054000/3.282812/Listening six (Nghe sáu)|words=1.054000,1.454000;
006 02.mp3/3.282812/6.901875/Listen and point (Nghe và chỉ.)|words=3.282812,3.642812,4.162812;
006 02.mp3/6.901875/9.383563/A (A.)|words=6.901875;
006 02.mp3/9.383563/11.850938/be (là)|words=9.383563;
006 02.mp3/11.850938/14.489063/C (C.)|words=11.850938;
006 02.mp3/14.489063/17.143125/D (D.)|words=14.489063;
006 02.mp3/17.143125/19.628062/E (E.)|words=17.143125;
006 02.mp3/19.628062/22.017188/f (f.)|words=19.628062;
006 02.mp3/22.017188/24.653125/G (G.)|words=22.017188;
006 02.mp3/24.653125/27.303375/H (H.)|words=24.653125;
006 02.mp3/27.303375/29.845688/I (I.)|words=27.303375;
006 02.mp3/29.845688/32.492688/J (J.)|words=29.845688;
006 02.mp3/32.492688/35.159500/K (K.)|words=32.492688;
006 02.mp3/35.159500/37.491312/L (L.)|words=35.159500;
006 02.mp3/37.491312/38.860500/M (M.)|words=37.491312;
006 02.mp3/39.966687/42.463375/n (n.)|words=39.966687;
006 02.mp3/42.463375/44.920000/Oh (Ồ)|words=42.463375;
006 02.mp3/44.920000/47.510750/P (P.)|words=44.920000;
006 02.mp3/47.510750/50.096750/Q (Q.)|words=47.510750;
006 02.mp3/50.096750/52.607875/are (là)|words=50.096750;
006 02.mp3/52.607875/55.218438/S (S.)|words=52.607875;
006 02.mp3/55.218438/57.574625/T (T.)|words=55.218438;
006 02.mp3/57.574625/60.146875/You (Bạn)|words=57.574625;
006 02.mp3/60.146875/62.793563/V (V.)|words=60.146875;
006 02.mp3/62.793563/65.355937/W (W.)|words=62.793563;
006 02.mp3/65.355937/67.853188/x (x.)|words=65.355937;
006 02.mp3/67.853188/70.360625/Why (Tại sao?)|words=67.853188;
006 02.mp3/70.360625/73.031125/Z (Z.)|words=70.360625;
006 02.mp3/73.031125/76.823125/Listen and repeat (Nghe và lặp lại.)|words=73.031125,73.371125,74.111125;
006 02.mp3/76.823125/79.304875/Hey (Chào bạn.)|words=76.823125;
006 02.mp3/79.304875/81.772188/be (Hãy là.)|words=79.304875;
006 02.mp3/81.772188/84.410375/C (C.)|words=81.772188;
006 02.mp3/84.410375/87.064375/D (D)|words=84.410375;
006 02.mp3/87.064375/89.549312/E (E)|words=87.064375;
006 02.mp3/89.549312/91.938438/f (f.)|words=89.549312;
006 02.mp3/91.938438/94.574687/G (G.)|words=91.938438;
006 02.mp3/94.574687/97.224625/H (H.)|words=94.574687;
006 02.mp3/97.224625/99.767000/I (I.)|words=97.224625;
006 02.mp3/99.767000/102.413562/J (J.)|words=99.767000;
006 02.mp3/102.413562/105.080750/K (K)|words=102.413562;
006 02.mp3/105.080750/107.412563/L (L.)|words=105.080750;
006 02.mp3/107.412563/108.782438/M (M)|words=107.412563;
006 02.mp3/109.887938/112.384625/n (n.)|words=109.887938;
006 02.mp3/112.384625/114.841250/Oh (Ồ)|words=112.384625;
006 02.mp3/114.841250/117.432000/P (P.)|words=114.841250;
006 02.mp3/117.432000/119.087125/Q (Q.)|words=117.432000;
006 02.mp3/120.018000/122.529188/are (là)|words=120.018000;
006 02.mp3/122.529188/125.139688/S (S.)|words=122.529188;
006 02.mp3/125.139688/126.596125/T (T.)|words=125.139688;
006 02.mp3/127.495937/130.068187/You (Bạn)|words=127.495937;
006 02.mp3/130.068187/132.713375/V (V)|words=130.068187;
006 02.mp3/132.713375/135.277250/W (W.)|words=132.713375;
006 02.mp3/135.277250/137.774438/X (X.)|words=135.277250;
006 02.mp3/137.774438/140.281937/Why (Tại sao?)|words=137.774438;
006 02.mp3/140.281937/143.986938/Z (Z.)|words=140.281937;
