031.mp3/0.000000/0.901438/You (Bạn.)|words=0.000000;
031.mp3/0.901438/3.272375/Listening 31 (Nghe 31.)|words=0.901438,1.261438;
031.mp3/3.272375/8.362063/Listen and write A or B (Nghe và viết A hoặc B.)|words=3.272375,3.692375,4.172375,4.512375,5.212375,5.992375;
031.mp3/8.362063/9.877125/One (Một.)|words=8.362063;
031.mp3/9.877125/14.996125/That is her pencil (Đó là bút chì của cô ấy.)|words=9.877125,10.377125,11.017125,11.317125;
031.mp3/14.996125/16.464375/Too (Hai.)|words=14.996125;
031.mp3/16.464375/20.481250/That is his eraser (Đó là cục tẩy của anh ấy.)|words=16.464375,16.924375,17.744375,18.064375;
031.mp3/20.481250/22.028688/3 (Ba.)|words=20.481250;
031.mp3/22.028688/25.895938/That is her pen (Đó là bút mực của cô ấy.)|words=22.028688,22.528688,23.188688,23.508688;
031.mp3/25.895938/27.475000/4 (Bốn.)|words=25.895938;
031.mp3/27.475000/32.914313/That is his bag (Đó là cặp sách của anh ấy.)|words=27.475000,27.955000,28.655000,28.975000;
