080.mp3/1.023937/3.307813/Listening 80 (Nghe 80)|words=1.023937,1.463937;
080.mp3/3.307813/6.043813/Listen and number (Nghe và đánh số.)|words=3.307813,3.687813,4.327813;
080.mp3/6.043813/7.558688/one (một.)|words=6.043813;
080.mp3/7.558688/12.440250/Mom, may I go and play in my bedroom (Mẹ ơi, con có thể đi chơi trong phòng của con không?)|words=7.558688,8.478688,9.038688,9.298688,9.658688,9.818688,10.218688,10.438688,10.638688;
080.mp3/12.440250/16.149188/Yes, okay (Được rồi.)|words=12.440250,13.260250;
080.mp3/16.149188/17.570312/too (hai.)|words=16.149188;
080.mp3/17.570312/22.415000/Kate, do you like chocolate ice cream (Kate, con có thích kem sô cô la không?)|words=17.570312,18.430312,18.950312,19.190312,19.510312,20.190312,20.550312;
080.mp3/22.415000/26.254687/Yes, I do (Có, con thích!)|words=22.415000,23.055000,23.195000;
080.mp3/26.254687/27.525313/3 (3)|words=26.254687;
080.mp3/27.525313/32.266688/Great chocolate ice cream (Kem sô cô la tuyệt vời)|words=27.525313,28.185313,29.485313,30.045313;
080.mp3/32.266688/36.885188/But you're full, James (Nhưng con đã ăn no rồi, James.)|words=32.266688,32.566688,33.226688,34.046688;
080.mp3/36.885188/38.001875/four (bốn.)|words=36.885188;
080.mp3/38.001875/46.628563/Yes, but chocolate ice cream is my favorite food (Đúng vậy, nhưng kem sô cô la là món ăn yêu thích của con.)|words=38.001875,39.161875,39.701875,40.561875,40.961875,41.441875,42.001875,42.261875,42.781875;
