102.mp3/1.000250/3.684750/Listening 102 (Nghe bài 102.)|words=1.000250,1.400250;
102.mp3/3.684750/6.527938/Listen and read (Nghe và đọc.)|words=3.684750,4.064750,4.604750;
102.mp3/6.527938/9.383250/Dear Keem, (Chào Keem,)|words=6.527938,6.847938;
102.mp3/9.383250/15.760063/My family is getting ready for Tet holiday (Gia đình tôi đang chuẩn bị cho kỳ nghỉ Tết.)|words=9.383250,9.663250,10.283250,11.143250,11.523250,12.063250,12.843250,13.343250;
102.mp3/15.760063/19.690188/I'm helping Mom and Dad (Tôi đang giúp mẹ và bố.)|words=15.760063,16.060063,16.500063,17.320063,17.780063;
102.mp3/19.690188/20.758563/Here (Ở đây.)|words=19.690188;
102.mp3/20.758563/25.466250/I'm choosing a red outside with Mom (Tôi đang chọn một chiếc áo màu đỏ cùng mẹ.)|words=20.758563,20.998563,21.438563,22.158563,22.618563,23.438563,24.398563;
102.mp3/25.466250/28.008813/And, and done (Và, và xong rồi.)|words=25.466250,25.646250,26.026250;
102.mp3/28.008813/34.018813/Here, I'm making Banh Chung with my brother (Ở đây, tôi đang làm bánh chưng cùng anh trai.)|words=28.008813,28.848813,29.388813,29.848813,30.588813,31.068813,31.808813,32.088813;
102.mp3/34.018813/35.896937/Love from (Yêu thương từ)|words=34.018813,34.458813;
102.mp3/35.896937/39.680000/Na (Na)|words=35.896937;
