127.mp3/0.000000/0.938813/You (Bạn)|words=0.000000;
127.mp3/0.938813/4.418000/Listening 127 (Nghe bài 127.)|words=0.938813,1.298813;
127.mp3/4.418000/7.157813/Listen and point (Nghe và chỉ.)|words=4.418000,4.798000,5.318000;
127.mp3/7.157813/9.076562/Oh (Ồ)|words=7.157813;
127.mp3/9.076562/11.840625/boat (thuyền.)|words=9.076562;
127.mp3/11.840625/13.863563/Oh (Ồ)|words=11.840625;
127.mp3/13.863563/17.010438/Goat (dê)|words=13.863563;
127.mp3/19.124688/22.235563/toy (đồ chơi.)|words=19.124688;
127.mp3/22.235563/24.409625/oi (ôi)|words=22.235563;
127.mp3/24.409625/27.232250/Bye (Tạm biệt!)|words=24.409625;
127.mp3/27.232250/29.191562/boy (cậu bé.)|words=27.232250;
127.mp3/29.191562/31.873125/boy (cậu bé.)|words=29.191562;
127.mp3/31.873125/34.106500/Oh (Ồ)|words=31.873125;
127.mp3/34.106500/37.236812/boat (thuyền.)|words=34.106500;
127.mp3/37.236812/39.179500/Oh (Ồ)|words=37.236812;
127.mp3/39.179500/41.894813/Goat (dê)|words=39.179500;
127.mp3/41.894813/43.315812/oi (ôi)|words=41.894813;
127.mp3/43.315812/46.555062/toy (đồ chơi.)|words=43.315812;
127.mp3/46.555062/49.691812/Listen and repeat (Nghe và lặp lại.)|words=46.555062,46.915062,47.615062;
127.mp3/49.691812/51.633125/Oh (Ồ)|words=49.691812;
127.mp3/51.633125/54.132625/boat (thuyền.)|words=51.633125;
127.mp3/54.132625/55.955000/Oh (Ồ)|words=54.132625;
127.mp3/55.955000/58.538812/goat (dê)|words=55.955000;
127.mp3/58.538812/60.195250/oi (ôi)|words=58.538812;
127.mp3/60.195250/62.639125/toy (đồ chơi.)|words=60.195250;
127.mp3/62.639125/64.602500/oi (ôi)|words=62.639125;
127.mp3/64.602500/68.205750/boy (cậu bé.)|words=64.602500;
