92.mp3/0.000000/0.562438/You (Bạn)|words=0.000000;
92.mp3/0.562438/3.044000/Unit 20 (Bài 20)|words=0.562438,0.962438;
92.mp3/3.044000/5.652813/At summer camp (Tại trại hè.)|words=3.044000,3.304000,3.724000;
92.mp3/5.652813/8.036188/Page 64 (Trang 64.)|words=5.652813,5.992813;
92.mp3/8.036188/9.904000/Lesson One (Bài học Một)|words=8.036188,8.536188;
92.mp3/9.904000/12.699563/Activity 1 (Hoạt động 1)|words=9.904000,10.564000;
92.mp3/12.699563/18.122813/Look, listen, and repeat (Nhìn, nghe và lặp lại.)|words=12.699563,13.659563,14.139563,15.019563;
92.mp3/18.122813/20.173375/A (A.)|words=18.122813;
92.mp3/20.173375/24.782063/Hi, my is Nam there (Chào, Nam có ở đó không?)|words=20.173375,20.773375,21.915063,22.255063,22.735063;
92.mp3/24.782063/28.974312/Yes, he is (Có, cậu ấy đang ở đây!)|words=24.782063,25.702063,25.902063;
92.mp3/28.974312/30.727813/B (B)|words=28.974312;
92.mp3/30.727813/33.859125/What's he doing (Cậu ấy đang làm gì?)|words=30.727813,31.407813,31.527813;
92.mp3/33.859125/39.955375/He's building a campfire (Cậu ấy đang dựng một đống lửa trại!)|words=33.859125,34.259125,34.819125,35.399125;
